,Age_AtReg,Disability,Gender,CitizenStatus,EducationLevel,Race_Hispanic,Race_NativeAmerican,Race_Asian,Race_AfricanAmerican,Race_PacificIslander,Race_White,Employed
318,41,0,2,1,14,0,0,0,1,0,0,1
319,41,0,2,1,14,0,0,0,1,0,0,1
320,17,0,1,1,10,0,0,0,1,0,0,0
321,60,0,2,1,21,0,0,0,1,0,0,0
322,51,0,2,1,20,0,0,0,1,0,0,0
323,52,0,1,1,14,0,0,0,1,0,0,1
324,32,0,1,1,14,0,0,0,0,1,0,0
325,32,0,1,1,14,0,0,0,0,1,0,0
326,56,0,2,1,14,0,0,0,1,0,0,0
327,52,0,2,1,16,0,0,0,1,0,0,1
328,52,0,2,1,16,0,0,0,1,0,0,1
329,52,0,2,1,16,0,0,0,1,0,0,1
330,52,0,2,1,16,0,0,0,1,0,0,1
331,52,0,2,1,16,0,0,0,1,0,0,1
332,59,0,2,1,17,0,0,0,1,0,0,0
333,27,0,1,1,14,0,0,0,1,0,0,0
334,25,0,1,1,14,0,0,0,1,0,0,0
335,34,0,1,1,14,0,0,0,1,0,0,1
336,34,0,1,1,14,0,0,0,1,0,0,1
337,34,0,1,1,14,0,0,0,1,0,0,1
338,28,0,2,1,14,0,0,0,1,0,0,1
339,40,1,1,1,15,0,0,0,1,0,0,0
340,39,0,1,1,14,0,0,0,1,0,0,1
341,43,0,1,1,16,0,0,0,1,0,0,0
342,35,0,2,1,14,0,0,0,1,0,0,0
343,35,0,2,1,14,0,0,0,1,0,0,0
344,35,0,2,1,16,0,0,0,1,0,0,0
345,38,0,1,1,16,0,0,0,1,0,0,0
346,55,0,1,1,11,0,0,0,1,0,0,0
347,37,1,2,1,15,0,0,0,1,0,0,0
348,32,0,2,4,14,0,0,0,1,0,0,0
349,42,0,2,1,14,0,0,0,1,0,0,0
350,36,0,1,1,14,0,0,0,1,0,0,0
351,36,0,1,1,14,0,0,0,1,0,0,0
352,39,0,2,4,14,0,0,0,1,0,0,0
353,29,0,1,1,16,0,0,0,1,0,0,0
